Bat ID,Sex,Birthday,Group,Julian Date,Sex,Sibling Sex,Day of 1st Switch
Sky101_M_G,M,20230616,Wild-Caught,167,M,M,30
Sky101_M_O,M,20230616,Wild-Caught,167,M,M,0
Sky103_F_P,F,20230616,Wild-Caught,167,F,F,4
Sky103_F_G,F,20230616,Wild-Caught,167,F,F,4
Sky104_M_NC,M,20230618,Wild-Caught,169,M,F,2
Sky104_F_NC,F,20230618,Wild-Caught,169,F,M,2
Sky106_M_P,M,20230619,Wild-Caught,170,M,M,2
Sky106_M_B,M,20230619,Wild-Caught,170,M,M,2
Sky107_M_NC,M,20230618,Wild-Caught,169,M,F,1
Sky107_F_NC,F,20230618,Wild-Caught,169,F,M,NA
Sky108_M_G,M,20230619,Wild-Caught,170,M,F,3
Sky108_F_P,F,20230619,Wild-Caught,170,F,M,3
Sky109_F_G,F,20230619,Wild-Caught,170,F,M,2
Sky109_M_P,M,20230619,Wild-Caught,170,M,F,2
Sky110_F_O,F,20230617,Wild-Caught,168,F,F,8
Sky110_F_B,F,20230617,Wild-Caught,168,F,F,8
Sky111_M_B,M,20230617,Wild-Caught,168,M,F,1
Sky111_F_O,F,20230617,Wild-Caught,168,F,M,1
Sky112_M_NC,M,20230614,Wild-Caught,165,M,F,1
Sky112_F_NC,F,20230614,Wild-Caught,165,F,M,1
Sky113_M_NC,M,20230617,Wild-Caught,168,M,F,1
Sky113_F_NC,F,20230617,Wild-Caught,168,F,M,1
Sky114_F_G,F,20230618,Wild-Caught,169,F,NA,5
Sky115_M_O,M,20230622,Wild-Caught,173,M,M,2
Sky115_M_G,M,20230622,Wild-Caught,173,M,M,2
Sky116_M_P,M,20230619,Wild-Caught,170,M,F,2
Sky116_F_B,F,20230619,Wild-Caught,170,F,M,2
Sky117_M_O,M,20230618,Wild-Caught,169,M,F,4
Sky117_F_B,F,20230618,Wild-Caught,169,F,M,4
Sky118_F_P,F,20230616,Wild-Caught,167,F,F,5
Sky118_F_B,F,20230616,Wild-Caught,167,F,F,5
Sky119_M_NC,M,20230618,Wild-Caught,169,M,F,7
Sky119_F_NC,F,20230618,Wild-Caught,169,F,M,7
Sky120_M_O,M,20230616,Wild-Caught,167,M,M,3
Sky120_M_B,M,20230617,Wild-Caught,168,M,M,2
Sky122_M_O,M,20230617,Wild-Caught,168,M,M,3
Sky122_M_NC,M,20230617,Wild-Caught,168,M,M,3
Sky123_M_O,M,20230621,Wild-Caught,172,M,F,1
Sky123_F_G,F,20230621,Wild-Caught,172,F,M,1
Sky124_F_O,F,20230618,Wild-Caught,169,F,F,2
Sky124_F_B,F,20230618,Wild-Caught,169,F,F,2
Sky127_M_NC,M,20230617,Wild-Caught,168,M,F,2
Sky127_F_NC,F,20230617,Wild-Caught,168,F,M,2
V104_M_O,M,20230618,Captive,169,M,F,4
V104_F_G,F,20230618,Captive,169,F,M,4
V107_F_P,F,20230615,Captive,166,F,M,3
V107_M_B,M,20230615,Captive,166,M,F,3
V110_M_O,M,20230614,Captive,165,M,F,2
V110_F_P,F,20230614,Captive,165,F,M,2
V111_M_NC,M,20230615,Captive,166,M,F,3
V111_F_NC,F,20230615,Captive,166,F,M,3
V112_M_NC,M,20230618,Captive,169,M,NA,5
V113_M_O,M,20230615,Captive,166,M,NA,2
V116_F_G,F,20230613,Captive,164,F,M,4
V116_M_B,M,20230613,Captive,164,M,F,4
V118_M_NC,M,20230618,Captive,169,M,F,3
V118_F_NC,F,20230618,Captive,169,F,M,3
V119_F_B,F,20230618,Captive,169,F,F,1
V119_M_NC,M,20230618,Captive,169,M,F,1
V125_F_P,F,20230616,Captive,167,F,NA,6
